"REF_DATE","GEO","DGUID","Primary heating system and type of energy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Newfoundland and Labrador","2016A000210","Other fuel forced air furnace","Percent","239","units","0","v95637359","2.9","","F","","","0"
"2019","Newfoundland and Labrador","2016A000210","Other fuel forced air furnace","Percent","239","units","0","v95637359","2.9","","F","","","0"
"2021","Newfoundland and Labrador","2016A000210","Other fuel forced air furnace","Percent","239","units","0","v95637359","2.9","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Electric baseboard heaters","Percent","239","units","0","v95637360","2.10","59","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Electric baseboard heaters","Percent","239","units","0","v95637360","2.10","62","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Electric baseboard heaters","Percent","239","units","0","v95637360","2.10","65","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Electric baseboard heaters","Percent","239","units","0","v95637360","2.10","50","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Electric baseboard heaters","Percent","239","units","0","v95637360","2.10","60","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Heating stove","Percent","239","units","0","v95637361","2.11","7","E","","","0"
"2015","Newfoundland and Labrador","2016A000210","Heating stove","Percent","239","units","0","v95637361","2.11","6","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Heating stove","Percent","239","units","0","v95637361","2.11","4","E","","","0"
"2019","Newfoundland and Labrador","2016A000210","Heating stove","Percent","239","units","0","v95637361","2.11","5","E","","","0"
"2021","Newfoundland and Labrador","2016A000210","Heating stove","Percent","239","units","0","v95637361","2.11","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Electric heating stove","Percent","239","units","0","v95637362","2.12","","F","","","0"
"2015","Newfoundland and Labrador","2016A000210","Electric heating stove","Percent","239","units","0","v95637362","2.12","","F","","","0"
"2017","Newfoundland and Labrador","2016A000210","Electric heating stove","Percent","239","units","0","v95637362","2.12","","F","","","0"
"2019","Newfoundland and Labrador","2016A000210","Electric heating stove","Percent","239","units","0","v95637362","2.12","","F","","","0"
"2021","Newfoundland and Labrador","2016A000210","Electric heating stove","Percent","239","units","0","v95637362","2.12","","F","","","0"
