Latitude (decimal degrees):	49.220
Longitude (decimal degrees):	-123.055
Elevation (m):	99
Radiation database:	PVGIS-NSRDB


Slope: 36 deg. (optimum)
Azimuth: 10 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20130101:0000,8.99,0.0,20.73,0.45,2.26,2.19,1.72,0.0
20130101:0100,0.0,0.0,0.0,0.0,0.0,1.32,2.21,0.0
20130101:0200,0.0,0.0,0.0,0.0,0.0,1.68,1.72,0.0
20130101:0300,0.0,0.0,0.0,0.0,0.0,1.37,1.59,0.0
20130101:0400,0.0,0.0,0.0,0.0,0.0,0.1,1.86,0.0
20130101:0500,0.0,0.0,0.0,0.0,0.0,0.65,1.24,0.0
20130101:0600,0.0,0.0,0.0,0.0,0.0,0.75,1.1,0.0
20130101:0700,0.0,0.0,0.0,0.0,0.0,0.27,1.38,0.0
20130101:0800,0.0,0.0,0.0,0.0,0.0,0.72,1.03,0.0
20130101:0900,0.0,0.0,0.0,0.0,0.0,1.28,0.83,0.0
20130101:1000,0.0,0.0,0.0,0.0,0.0,0.64,0.83,0.0
20130101:1100,0.0,0.0,0.0,0.0,0.0,-0.76,1.38,0.0
20130101:1200,0.0,0.0,0.0,0.0,0.0,-0.62,1.31,0.0
20130101:1300,0.0,0.0,0.0,0.0,0.0,0.54,0.83,0.0
20130101:1400,0.0,0.0,0.0,0.0,0.0,0.73,0.69,0.0
20130101:1500,0.0,0.0,0.0,0.0,0.0,0.44,0.9,0.0
20130101:1600,0.0,0.0,0.0,0.0,0.0,0.22,1.1,0.0
20130101:1700,167.15,149.05,55.32,1.37,5.69,0.43,1.17,0.0
20130101:1800,86.99,35.21,76.47,1.74,11.71,1.59,0.69,0.0
20130101:1900,132.11,52.95,108.03,2.51,15.83,2.92,0.9,0.0
20130101:2000,136.76,47.01,119.54,2.74,17.69,3.62,0.76,0.0
20130101:2100,255.75,158.76,138.02,3.43,17.1,3.88,0.76,0.0
20130101:2200,113.91,46.43,95.37,2.16,14.12,3.98,0.83,0.0
20130101:2300,29.23,0.0,46.87,1.02,9.04,3.69,0.69,0.0
20130102:0000,1.62,0.0,9.01,0.2,2.39,3.17,0.55,0.0
20130102:0100,0.0,0.0,0.0,0.0,0.0,2.32,1.03,0.0
20130102:0200,0.0,0.0,0.0,0.0,0.0,1.0,1.66,0.0
20130102:0300,0.0,0.0,0.0,0.0,0.0,0.44,1.79,0.0
20130102:0400,0.0,0.0,0.0,0.0,0.0,0.48,1.72,0.0
20130102:0500,0.0,0.0,0.0,0.0,0.0,0.99,1.52,0.0
20130102:0600,0.0,0.0,0.0,0.0,0.0,1.01,1.52,0.0
20130102:0700,0.0,0.0,0.0,0.0,0.0,-0.25,1.72,0.0
20130102:0800,0.0,0.0,0.0,0.0,0.0,0.69,1.52,0.0
20130102:0900,0.0,0.0,0.0,0.0,0.0,0.82,1.45,0.0
20130102:1000,0.0,0.0,0.0,0.0,0.0,1.16,1.31,0.0
20130102:1100,0.0,0.0,0.0,0.0,0.0,1.71,1.17,0.0
20130102:1200,0.0,0.0,0.0,0.0,0.0,2.09,1.1,0.0
20130102:1300,0.0,0.0,0.0,0.0,0.0,2.9,0.97,0.0
20130102:1400,0.0,0.0,0.0,0.0,0.0,3.04,0.62,0.0
20130102:1500,0.0,0.0,0.0,0.0,0.0,3.12,0.9,0.0
20130102:1600,0.0,0.0,0.0,0.0,0.0,3.08,0.83,0.0
20130102:1700,20.67,4.23,32.23,0.71,5.71,3.19,0.69,0.0
20130102:1800,194.24,137.33,91.75,2.35,11.75,2.65,1.1,0.0
20130102:1900,280.66,197.83,128.05,3.45,15.89,4.04,0.48,0.0
20130102:2000,412.68,335.66,142.46,4.45,17.77,4.97,0.83,0.0
20130102:2100,456.35,392.47,135.77,4.51,17.2,4.86,1.1,0.0
20130102:2200,263.95,187.7,119.27,2.98,14.23,4.97,1.03,0.0
20130102:2300,105.85,65.29,68.33,1.49,9.16,4.74,0.9,0.0
20130103:0000,4.69,0.0,14.42,0.31,2.52,4.4,0.34,0.0
20130103:0100,0.0,0.0,0.0,0.0,0.0,3.98,0.34,0.0
20130103:0200,0.0,0.0,0.0,0.0,0.0,3.73,0.62,0.0
20130103:0300,0.0,0.0,0.0,0.0,0.0,3.54,0.69,0.0
20130103:0400,0.0,0.0,0.0,0.0,0.0,3.32,0.62,0.0
20130103:0500,0.0,0.0,0.0,0.0,0.0,3.15,0.69,0.0
20130103:0600,0.0,0.0,0.0,0.0,0.0,3.19,0.69,0.0
20130103:0700,0.0,0.0,0.0,0.0,0.0,3.05,0.97,0.0
20130103:0800,0.0,0.0,0.0,0.0,0.0,2.98,0.97,0.0
20130103:0900,0.0,0.0,0.0,0.0,0.0,2.92,0.76,0.0
20130103:1000,0.0,0.0,0.0,0.0,0.0,2.86,0.76,0.0
20130103:1100,0.0,0.0,0.0,0.0,0.0,2.76,0.69,0.0
20130103:1200,0.0,0.0,0.0,0.0,0.0,2.63,0.55,0.0
20130103:1300,0.0,0.0,0.0,0.0,0.0,2.51,0.62,0.0
20130103:1400,0.0,0.0,0.0,0.0,0.0,2.39,0.69,0.0
20130103:1500,0.0,0.0,0.0,0.0,0.0,2.27,0.69,0.0
20130103:1600,0.0,0.0,0.0,0.0,0.0,2.14,0.76,0.0
20130103:1700,174.29,151.31,62.29,1.39,5.75,1.66,1.03,0.0
20130103:1800,391.65,349.03,100.22,3.45,11.8,1.92,1.38,0.0
20130103:1900,524.74,493.93,118.51,4.98,15.96,3.65,0.76,0.0
20130103:2000,594.91,572.76,127.65,5.7,17.86,4.42,0.97,0.0
20130103:2100,598.56,572.45,129.09,5.49,17.3,4.3,1.24,0.0
20130103:2200,534.47,495.42,121.33,4.39,14.35,4.24,1.93,0.0
20130103:2300,240.75,193.73,86.04,2.0,9.29,4.02,2.07,0.0
20130104:0000,8.29,0.0,19.83,0.43,2.66,3.53,1.79,0.0
20130104:0100,0.0,0.0,0.0,0.0,0.0,3.29,1.24,0.0
20130104:0200,0.0,0.0,0.0,0.0,0.0,2.27,1.52,0.0
20130104:0300,0.0,0.0,0.0,0.0,0.0,1.61,2.14,0.0
20130104:0400,0.0,0.0,0.0,0.0,0.0,2.11,2.21,0.0
20130104:0500,0.0,0.0,0.0,0.0,0.0,2.46,2.21,0.0
20130104:0600,0.0,0.0,0.0,0.0,0.0,2.79,2.41,0.0
20130104:0700,0.0,0.0,0.0,0.0,0.0,2.92,2.48,0.0
20130104:0800,0.0,0.0,0.0,0.0,0.0,2.6,2.14,0.0
20130104:0900,0.0,0.0,0.0,0.0,0.0,2.53,1.86,0.0
20130104:1000,0.0,0.0,0.0,0.0,0.0,2.46,1.79,0.0
20130104:1100,0.0,0.0,0.0,0.0,0.0,1.39,2.14,0.0
20130104:1200,0.0,0.0,0.0,0.0,0.0,1.53,2.21,0.0
20130104:1300,0.0,0.0,0.0,0.0,0.0,1.8,2.14,0.0
20130104:1400,0.0,0.0,0.0,0.0,0.0,1.97,2.14,0.0
20130104:1500,0.0,0.0,0.0,0.0,0.0,2.07,2.07,0.0
20130104:1600,0.0,0.0,0.0,0.0,0.0,2.18,2.07,0.0
20130104:1700,166.81,145.92,59.22,1.35,5.78,2.26,1.93,0.0
20130104:1800,3.1,0.0,11.72,0.25,11.86,3.02,1.66,0.0
20130104:1900,43.79,0.0,64.0,1.39,16.03,3.77,1.59,0.0
20130104:2000,5.85,0.0,16.23,0.35,17.95,4.1,1.52,0.0
20130104:2100,584.97,558.87,127.03,5.41,17.41,4.61,1.17,0.0
20130104:2200,518.31,486.13,119.45,4.35,14.48,5.15,1.1,0.0
20130104:2300,14.1,0.0,27.94,0.61,9.42,4.63,1.52,0.0
20130105:0000,0.34,0.0,6.31,0.14,2.8,4.51,1.93,0.0
20130105:0100,0.0,0.0,0.0,0.0,0.0,4.97,1.31,0.0
20130105:0200,0.0,0.0,0.0,0.0,0.0,4.26,1.66,0.0
20130105:0300,0.0,0.0,0.0,0.0,0.0,3.99,1.93,0.0
20130105:0400,0.0,0.0,0.0,0.0,0.0,3.73,2.0,0.0
20130105:0500,0.0,0.0,0.0,0.0,0.0,3.5,2.34,0.0
20130105:0600,0.0,0.0,0.0,0.0,0.0,3.5,2.76,0.0
20130105:0700,0.0,0.0,0.0,0.0,0.0,2.96,2.76,0.0
20130105:0800,0.0,0.0,0.0,0.0,0.0,3.09,2.69,0.0
20130105:0900,0.0,0.0,0.0,0.0,0.0,3.17,2.48,0.0
20130105:1000,0.0,0.0,0.0,0.0,0.0,3.17,2.34,0.0
20130105:1100,0.0,0.0,0.0,0.0,0.0,3.21,1.93,0.0
20130105:1200,0.0,0.0,0.0,0.0,0.0,3.27,1.79,0.0
20130105:1300,0.0,0.0,0.0,0.0,0.0,3.19,1.93,0.0
20130105:1400,0.0,0.0,0.0,0.0,0.0,2.2,1.79,0.0
20130105:1500,0.0,0.0,0.0,0.0,0.0,2.15,1.86,0.0
20130105:1600,0.0,0.0,0.0,0.0,0.0,2.35,2.34,0.0
20130105:1700,2.59,0.0,10.82,0.24,5.83,2.82,2.62,0.0
20130105:1800,7.08,0.0,18.03,0.39,11.92,3.3,2.83,0.0
20130105:1900,8.27,0.0,19.83,0.43,16.12,4.18,2.9,0.0
20130105:2000,17.51,0.0,32.45,0.71,18.06,4.97,2.14,0.0
20130105:2100,23.15,0.0,39.66,0.86,17.53,5.37,1.79,0.0
20130105:2200,13.38,0.0,27.04,0.59,14.61,5.23,2.07,0.0
20130105:2300,17.49,0.0,32.45,0.71,9.57,5.28,2.76,0.0
20130106:0000,0.73,0.0,7.21,0.16,2.95,5.27,3.31,0.0
20130106:0100,0.0,0.0,0.0,0.0,0.0,5.25,3.52,0.0
20130106:0200,0.0,0.0,0.0,0.0,0.0,5.23,3.52,0.0
20130106:0300,0.0,0.0,0.0,0.0,0.0,5.3,3.45,0.0
20130106:0400,0.0,0.0,0.0,0.0,0.0,4.75,3.72,0.0
20130106:0500,0.0,0.0,0.0,0.0,0.0,4.52,3.38,0.0
20130106:0600,0.0,0.0,0.0,0.0,0.0,4.09,2.28,0.0
20130106:0700,0.0,0.0,0.0,0.0,0.0,3.76,2.07,0.0
20130106:0800,0.0,0.0,0.0,0.0,0.0,3.44,2.14,0.0
20130106:0900,0.0,0.0,0.0,0.0,0.0,3.07,2.07,0.0
20130106:1000,0.0,0.0,0.0,0.0,0.0,2.98,2.34,0.0
20130106:1100,0.0,0.0,0.0,0.0,0.0,3.08,2.55,0.0
20130106:1200,0.0,0.0,0.0,0.0,0.0,3.03,2.83,0.0
20130106:1300,0.0,0.0,0.0,0.0,0.0,3.42,2.9,0.0
20130106:1400,0.0,0.0,0.0,0.0,0.0,3.18,2.76,0.0
20130106:1500,0.0,0.0,0.0,0.0,0.0,3.2,2.55,0.0
20130106:1600,0.0,0.0,0.0,0.0,0.0,3.25,2.69,0.0
20130106:1700,0.0,0.0,1.8,0.04,5.88,3.36,3.03,0.0
20130106:1800,0.0,0.0,4.51,0.1,11.99,3.65,3.66,0.0
20130106:1900,19.0,0.0,34.25,0.74,16.21,4.23,4.21,0.0
20130106:2000,2.56,0.0,10.82,0.24,18.17,4.44,4.55,0.0
20130106:2100,10.15,0.0,22.54,0.49,17.66,4.48,4.41,0.0
20130106:2200,5.84,0.0,16.23,0.35,14.75,4.48,4.21,0.0
20130106:2300,5.26,0.0,15.32,0.33,9.71,4.41,4.14,0.0
20130107:0000,0.0,0.0,3.61,0.08,3.11,4.27,4.14,0.0
20130107:0100,0.0,0.0,0.0,0.0,0.0,3.98,3.86,0.0
20130107:0200,0.0,0.0,0.0,0.0,0.0,3.84,3.79,0.0
20130107:0300,0.0,0.0,0.0,0.0,0.0,3.73,3.86,0.0
20130107:0400,0.0,0.0,0.0,0.0,0.0,3.62,4.0,0.0
20130107:0500,0.0,0.0,0.0,0.0,0.0,3.54,4.0,0.0
20130107:0600,0.0,0.0,0.0,0.0,0.0,3.47,4.21,0.0
20130107:0700,0.0,0.0,0.0,0.0,0.0,3.44,4.69,0.0
20130107:0800,0.0,0.0,0.0,0.0,0.0,3.34,4.48,0.0
20130107:0900,0.0,0.0,0.0,0.0,0.0,3.21,4.41,0.0
20130107:1000,0.0,0.0,0.0,0.0,0.0,3.07,4.55,0.0
20130107:1100,0.0,0.0,0.0,0.0,0.0,2.71,3.66,0.0
20130107:1200,0.0,0.0,0.0,0.0,0.0,2.54,3.45,0.0
20130107:1300,0.0,0.0,0.0,0.0,0.0,2.65,3.66,0.0
20130107:1400,0.0,0.0,0.0,0.0,0.0,2.66,3.72,0.0
20130107:1500,0.0,0.0,0.0,0.0,0.0,2.79,3.72,0.0
20130107:1600,0.0,0.0,0.0,0.0,0.0,2.91,3.52,0.0
20130107:1700,10.87,0.0,23.44,0.51,5.94,3.2,3.31,0.0
20130107:1800,8.93,0.0,20.73,0.45,12.07,3.49,2.9,0.0
20130107:1900,25.5,0.0,42.37,0.92,16.31,4.15,2.34,0.0
20130107:2000,72.95,0.0,97.35,2.12,18.28,4.52,1.1,0.0
20130107:2100,64.51,0.0,88.34,1.92,17.8,5.62,0.55,0.0
20130107:2200,66.76,5.95,84.97,1.86,14.9,6.34,1.45,0.0
20130107:2300,35.05,0.0,54.08,1.18,9.87,5.35,2.41,0.0
20130108:0000,4.11,0.0,13.52,0.29,3.27,5.44,3.17,0.0
20130108:0100,0.0,0.0,0.0,0.0,0.0,5.07,3.1,0.0
20130108:0200,0.0,0.0,0.0,0.0,0.0,4.41,2.55,0.0
20130108:0300,0.0,0.0,0.0,0.0,0.0,3.91,1.93,0.0
20130108:0400,0.0,0.0,0.0,0.0,0.0,3.63,1.66,0.0
20130108:0500,0.0,0.0,0.0,0.0,0.0,3.37,1.17,0.0
20130108:0600,0.0,0.0,0.0,0.0,0.0,3.76,0.62,0.0
20130108:0700,0.0,0.0,0.0,0.0,0.0,3.8,0.41,0.0
20130108:0800,0.0,0.0,0.0,0.0,0.0,3.26,1.03,0.0
20130108:0900,0.0,0.0,0.0,0.0,0.0,1.67,1.66,0.0
20130108:1000,0.0,0.0,0.0,0.0,0.0,1.77,1.72,0.0
20130108:1100,0.0,0.0,0.0,0.0,0.0,1.84,1.93,0.0
20130108:1200,0.0,0.0,0.0,0.0,0.0,2.21,1.93,0.0
20130108:1300,0.0,0.0,0.0,0.0,0.0,2.63,2.0,0.0
20130108:1400,0.0,0.0,0.0,0.0,0.0,3.15,2.21,0.0
20130108:1500,0.0,0.0,0.0,0.0,0.0,3.46,2.62,0.0
20130108:1600,0.0,0.0,0.0,0.0,0.0,3.29,3.03,0.0
20130108:1700,0.74,0.0,7.21,0.16,6.0,3.57,3.52,0.0
20130108:1800,3.09,0.0,11.72,0.25,12.15,3.71,3.59,0.0
20130108:1900,7.07,0.0,18.03,0.39,16.41,3.41,3.66,0.0
20130108:2000,3.64,0.0,12.62,0.27,18.41,2.9,3.59,0.0
20130108:2100,7.12,0.0,18.03,0.39,17.94,2.37,3.59,0.0
20130108:2200,4.76,0.0,14.42,0.31,15.05,2.12,3.52,0.0
20130108:2300,2.11,0.0,9.92,0.22,10.02,2.18,4.21,0.0
20130109:0000,0.0,0.0,2.7,0.06,3.44,2.5,4.48,0.0
20130109:0100,0.0,0.0,0.0,0.0,0.0,3.02,4.62,0.0
20130109:0200,0.0,0.0,0.0,0.0,0.0,3.52,4.14,0.0
20130109:0300,0.0,0.0,0.0,0.0,0.0,4.11,4.07,0.0
20130109:0400,0.0,0.0,0.0,0.0,0.0,5.09,4.34,0.0
20130109:0500,0.0,0.0,0.0,0.0,0.0,6.14,5.03,0.0
20130109:0600,0.0,0.0,0.0,0.0,0.0,6.7,5.52,0.0
20130109:0700,0.0,0.0,0.0,0.0,0.0,7.06,5.79,0.0
20130109:0800,0.0,0.0,0.0,0.0,0.0,6.4,5.17,0.0
20130109:0900,0.0,0.0,0.0,0.0,0.0,5.62,4.62,0.0
20130109:1000,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
20130109:1100,0.0,0.0,0.0,0.0,0.0,4.49,3.24,0.0
20130109:1200,0.0,0.0,0.0,0.0,0.0,4.08,2.76,0.0
20130109:1300,0.0,0.0,0.0,0.0,0.0,3.74,2.28,0.0
20130109:1400,0.0,0.0,0.0,0.0,0.0,3.48,2.21,0.0
20130109:1500,0.0,0.0,0.0,0.0,0.0,3.17,2.34,0.0
20130109:1600,0.0,0.0,0.0,0.0,0.0,2.94,2.41,0.0
20130109:1700,11.52,0.0,24.34,0.53,6.08,3.28,2.28,0.0
20130109:1800,81.9,28.03,78.59,1.78,12.24,3.4,2.07,0.0
20130109:1900,255.83,163.1,131.93,3.43,16.53,3.88,2.21,0.0
20130109:2000,185.14,83.02,136.19,3.23,18.54,4.53,1.59,0.0
20130109:2100,301.98,199.48,149.68,3.88,18.09,5.26,1.38,0.0
20130109:2200,236.04,152.3,124.41,3.04,15.21,5.59,1.03,0.0
20130109:2300,73.39,30.01,67.85,1.49,10.19,5.23,1.24,0.0
20130110:0000,7.64,0.0,18.93,0.41,3.61,4.36,1.72,0.0
20130110:0100,0.0,0.0,0.0,0.0,0.0,3.65,1.93,0.0
20130110:0200,0.0,0.0,0.0,0.0,0.0,3.64,1.59,0.0
20130110:0300,0.0,0.0,0.0,0.0,0.0,2.5,1.52,0.0
20130110:0400,0.0,0.0,0.0,0.0,0.0,1.61,1.52,0.0
20130110:0500,0.0,0.0,0.0,0.0,0.0,1.93,1.17,0.0
20130110:0600,0.0,0.0,0.0,0.0,0.0,2.03,1.1,0.0
20130110:0700,0.0,0.0,0.0,0.0,0.0,2.94,0.69,0.0
20130110:0800,0.0,0.0,0.0,0.0,0.0,2.61,0.41,0.0
20130110:0900,0.0,0.0,0.0,0.0,0.0,2.36,0.21,0.0
20130110:1000,0.0,0.0,0.0,0.0,0.0,2.22,0.14,0.0
20130110:1100,0.0,0.0,0.0,0.0,0.0,2.19,0.14,0.0
20130110:1200,0.0,0.0,0.0,0.0,0.0,2.03,0.07,0.0
20130110:1300,0.0,0.0,0.0,0.0,0.0,1.98,0.28,0.0
20130110:1400,0.0,0.0,0.0,0.0,0.0,2.09,0.41,0.0
20130110:1500,0.0,0.0,0.0,0.0,0.0,2.13,0.28,0.0
20130110:1600,0.0,0.0,0.0,0.0,0.0,2.06,0.21,0.0
20130110:1700,178.68,155.76,64.05,1.51,6.16,2.12,0.34,0.0
20130110:1800,393.18,356.08,101.72,3.65,12.34,2.36,0.14,0.0
20130110:1900,542.76,509.1,122.22,5.29,16.65,3.53,1.1,0.0
20130110:2000,630.01,595.29,131.65,6.1,18.68,2.82,2.14,0.0
20130110:2100,640.64,602.46,135.29,5.96,18.24,3.43,2.69,0.0
20130110:2200,574.61,528.75,129.59,4.88,15.37,3.44,2.62,0.0
20130110:2300,427.81,377.62,110.22,3.04,10.36,3.02,2.34,0.0
20130111:0000,143.3,131.85,43.43,0.86,3.79,2.57,2.07,0.0
20130111:0100,0.0,0.0,0.0,0.0,0.0,1.64,2.14,0.0
20130111:0200,0.0,0.0,0.0,0.0,0.0,1.01,2.34,0.0
20130111:0300,0.0,0.0,0.0,0.0,0.0,0.3,2.69,0.0
20130111:0400,0.0,0.0,0.0,0.0,0.0,-0.31,2.9,0.0
20130111:0500,0.0,0.0,0.0,0.0,0.0,-0.63,2.97,0.0
20130111:0600,0.0,0.0,0.0,0.0,0.0,-0.84,2.9,0.0
20130111:0700,0.0,0.0,0.0,0.0,0.0,-0.46,2.34,0.0
20130111:0800,0.0,0.0,0.0,0.0,0.0,-0.41,2.28,0.0
20130111:0900,0.0,0.0,0.0,0.0,0.0,-0.76,2.34,0.0
20130111:1000,0.0,0.0,0.0,0.0,0.0,-1.02,2.34,0.0
20130111:1100,0.0,0.0,0.0,0.0,0.0,-1.32,2.28,0.0
20130111:1200,0.0,0.0,0.0,0.0,0.0,-1.42,2.14,0.0
20130111:1300,0.0,0.0,0.0,0.0,0.0,-1.59,2.0,0.0
20130111:1400,0.0,0.0,0.0,0.0,0.0,-1.89,2.0,0.0
20130111:1500,0.0,0.0,0.0,0.0,0.0,-2.07,1.93,0.0
20130111:1600,0.0,0.0,0.0,0.0,0.0,-2.57,1.79,0.0
20130111:1700,200.45,168.91,69.62,1.63,6.24,-2.43,1.59,0.0
20130111:1800,424.36,375.33,107.3,3.84,12.45,-0.29,1.31,0.0
20130111:1900,575.59,531.04,125.85,5.51,16.77,0.33,1.66,0.0
20130111:2000,642.55,611.59,136.3,6.29,18.83,1.4,1.17,0.0
20130111:2100,641.6,619.25,138.2,6.13,18.4,1.92,0.55,0.0
20130111:2200,577.88,541.66,132.2,5.02,15.55,2.12,0.76,0.0
20130111:2300,435.63,387.21,112.59,3.14,10.54,1.81,1.03,0.0
20130112:0000,154.88,141.26,46.35,0.92,3.97,1.62,1.24,0.0
20130112:0100,0.0,0.0,0.0,0.0,0.0,0.93,1.1,0.0
20130112:0200,0.0,0.0,0.0,0.0,0.0,1.31,0.97,0.0
20130112:0300,0.0,0.0,0.0,0.0,0.0,1.22,1.03,0.0
20130112:0400,0.0,0.0,0.0,0.0,0.0,0.99,1.1,0.0
20130112:0500,0.0,0.0,0.0,0.0,0.0,0.65,1.24,0.0
20130112:0600,0.0,0.0,0.0,0.0,0.0,0.26,1.31,0.0
20130112:0700,0.0,0.0,0.0,0.0,0.0,0.33,1.17,0.0
20130112:0800,0.0,0.0,0.0,0.0,0.0,0.3,1.1,0.0
20130112:0900,0.0,0.0,0.0,0.0,0.0,0.42,0.97,0.0
20130112:1000,0.0,0.0,0.0,0.0,0.0,0.84,0.76,0.0
20130112:1100,0.0,0.0,0.0,0.0,0.0,0.68,0.55,0.0
20130112:1200,0.0,0.0,0.0,0.0,0.0,0.15,0.83,0.0
20130112:1300,0.0,0.0,0.0,0.0,0.0,-0.22,0.9,0.0
20130112:1400,0.0,0.0,0.0,0.0,0.0,-0.15,0.83,0.0
20130112:1500,0.0,0.0,0.0,0.0,0.0,-0.42,0.9,0.0
20130112:1600,0.0,0.0,0.0,0.0,0.0,-0.72,0.9,0.0
20130112:1700,191.08,162.6,67.74,1.61,6.33,-0.75,0.97,0.0
20130112:1800,410.57,364.01,105.12,3.78,12.56,0.46,1.1,0.0
20130112:1900,554.04,517.53,123.68,5.43,16.91,0.57,0.55,0.0
20130112:2000,637.91,602.84,132.86,6.23,18.98,0.67,1.45,0.0
20130112:2100,645.08,607.35,136.09,6.08,18.57,1.12,1.72,0.0
20130112:2200,575.68,531.36,129.92,4.98,15.72,1.49,1.52,0.0
20130112:2300,67.08,21.62,67.68,1.49,10.72,1.2,1.72,0.0
20130113:0000,9.08,0.0,20.73,0.45,4.16,0.48,2.14,0.0
20130113:0100,0.0,0.0,0.0,0.0,0.0,0.17,1.93,0.0
20130113:0200,0.0,0.0,0.0,0.0,0.0,0.02,1.79,0.0
20130113:0300,0.0,0.0,0.0,0.0,0.0,-0.63,1.66,0.0
20130113:0400,0.0,0.0,0.0,0.0,0.0,-0.31,1.45,0.0
20130113:0500,0.0,0.0,0.0,0.0,0.0,-0.11,1.38,0.0
20130113:0600,0.0,0.0,0.0,0.0,0.0,0.23,1.24,0.0
20130113:0700,0.0,0.0,0.0,0.0,0.0,0.62,1.03,0.0
20130113:0800,0.0,0.0,0.0,0.0,0.0,0.6,0.48,0.0
20130113:0900,0.0,0.0,0.0,0.0,0.0,0.19,0.69,0.0
20130113:1000,0.0,0.0,0.0,0.0,0.0,-0.11,0.83,0.0
20130113:1100,0.0,0.0,0.0,0.0,0.0,-0.86,0.97,0.0
20130113:1200,0.0,0.0,0.0,0.0,0.0,-1.6,1.1,0.0
20130113:1300,0.0,0.0,0.0,0.0,0.0,-2.29,1.24,0.0
20130113:1400,0.0,0.0,0.0,0.0,0.0,-2.19,1.1,0.0
20130113:1500,0.0,0.0,0.0,0.0,0.0,-2.38,1.24,0.0
20130113:1600,0.0,0.0,0.0,0.0,0.0,-2.47,1.31,0.0
20130113:1700,11.84,0.0,24.34,0.53,6.43,-1.88,1.1,0.0
20130113:1800,87.54,29.85,81.59,1.86,12.68,-0.12,0.97,0.0
20130113:1900,58.23,0.0,79.32,1.72,17.05,-0.01,1.24,0.0
20130113:2000,62.16,0.0,83.83,1.82,19.14,0.42,1.24,0.0
20130113:2100,388.51,283.68,155.75,4.45,18.75,1.18,1.38,0.0
20130113:2200,222.92,130.27,126.45,3.06,15.91,1.32,1.52,0.0
20130113:2300,58.06,14.22,65.1,1.43,10.91,1.19,1.79,0.0
20130114:0000,8.44,0.0,19.83,0.43,4.35,0.56,2.0,0.0
20130114:0100,0.0,0.0,0.0,0.0,0.0,-0.13,2.07,0.0
20130114:0200,0.0,0.0,0.0,0.0,0.0,-0.71,2.0,0.0
20130114:0300,0.0,0.0,0.0,0.0,0.0,-0.67,1.72,0.0
20130114:0400,0.0,0.0,0.0,0.0,0.0,-0.96,1.79,0.0
20130114:0500,0.0,0.0,0.0,0.0,0.0,-1.21,1.72,0.0
20130114:0600,0.0,0.0,0.0,0.0,0.0,-1.19,1.59,0.0
20130114:0700,0.0,0.0,0.0,0.0,0.0,-1.46,1.79,0.0
20130114:0800,0.0,0.0,0.0,0.0,0.0,-1.71,2.07,0.0
20130114:0900,0.0,0.0,0.0,0.0,0.0,-1.35,2.0,0.0
20130114:1000,0.0,0.0,0.0,0.0,0.0,-1.33,1.93,0.0
20130114:1100,0.0,0.0,0.0,0.0,0.0,-1.32,2.07,0.0
20130114:1200,0.0,0.0,0.0,0.0,0.0,-1.14,2.0,0.0
20130114:1300,0.0,0.0,0.0,0.0,0.0,-0.82,2.0,0.0
20130114:1400,0.0,0.0,0.0,0.0,0.0,-0.73,2.21,0.0
20130114:1500,0.0,0.0,0.0,0.0,0.0,-0.47,2.41,0.0
20130114:1600,0.0,0.0,0.0,0.0,0.0,-0.31,2.28,0.0
20130114:1700,0.01,0.0,5.41,0.12,6.54,-0.08,2.28,0.0
20130114:1800,5.97,0.0,16.23,0.35,12.81,0.73,2.21,0.0
20130114:1900,7.78,0.0,18.93,0.41,17.2,1.12,2.0,0.0
20130114:2000,9.03,0.0,20.73,0.45,19.31,1.48,2.0,0.0
20130114:2100,5.94,0.0,16.23,0.35,18.93,1.68,2.14,0.0
20130114:2200,0.76,0.0,7.21,0.16,16.1,1.86,2.21,0.0
20130114:2300,0.0,0.0,2.7,0.06,11.1,1.86,2.21,0.0
20130115:0000,0.0,0.0,0.9,0.02,4.55,1.57,2.21,0.0
20130115:0100,0.0,0.0,0.0,0.0,0.0,1.06,2.28,0.0
20130115:0200,0.0,0.0,0.0,0.0,0.0,0.69,2.07,0.0
20130115:0300,0.0,0.0,0.0,0.0,0.0,0.63,1.86,0.0
20130115:0400,0.0,0.0,0.0,0.0,0.0,0.48,1.86,0.0
20130115:0500,0.0,0.0,0.0,0.0,0.0,0.3,1.93,0.0
20130115:0600,0.0,0.0,0.0,0.0,0.0,0.37,1.93,0.0
20130115:0700,0.0,0.0,0.0,0.0,0.0,0.21,1.31,0.0
20130115:0800,0.0,0.0,0.0,0.0,0.0,-0.18,1.17,0.0
20130115:0900,0.0,0.0,0.0,0.0,0.0,-0.15,1.1,0.0
20130115:1000,0.0,0.0,0.0,0.0,0.0,-0.09,1.1,0.0
20130115:1100,0.0,0.0,0.0,0.0,0.0,-0.07,1.1,0.0
20130115:1200,0.0,0.0,0.0,0.0,0.0,-0.21,1.03,0.0
20130115:1300,0.0,0.0,0.0,0.0,0.0,-0.52,1.1,0.0
20130115:1400,0.0,0.0,0.0,0.0,0.0,-0.49,1.1,0.0
20130115:1500,0.0,0.0,0.0,0.0,0.0,-0.33,1.03,0.0
